Surface,Reaction,d_NN(top),d_NN(2nd),d_NN(bulk),EN(top),EN(2nd),Facet,ID,CO_or_CC,Eads(CH3CH2OH),N_H,Initial,Final,Er,Ea,E_TS,has_TS
Pt-Ti-Pt(111),*CH2CHO → *CH2 + *CHO,277,289,277,2.28,1.54,1,5,1,-0.212,3,1.6617,3.6988,2.0371,100.0,2.935339068507025,0
Pt-Ti-Pt(111),*CHCH2O → *CH + *CH2O,277,289,277,2.28,1.54,1,6,1,-0.212,3,3.3964,3.5041,0.1077,100.0,3.0652512162859566,0
Pt-Ti-Pt(111),*CH2CO → *CH2 + *CO,277,289,277,2.28,1.54,1,7,1,-0.212,2,2.7085,3.3238,0.6153,100.0,3.129528092192689,0
Pt-Ti-Pt(111),*CH3CH2O → *CH3CH2 + *O,277,289,277,2.28,1.54,1,8,2,-0.212,5,0.92,2.6463,1.7263,100.0,2.1848001272143307,0
Pt-Ti-Pt(111),*CH3CHO → *CH3CH + *O,277,289,277,2.28,1.54,1,9,2,-0.212,4,0.8007,3.8168,3.0161,100.0,2.585196116963298,0
Pt-Ti-Pt(111),*CH3CO → *CH3C + *O,277,289,277,2.28,1.54,1,11,2,-0.212,3,1.4545,4.1604,2.7059,100.0,3.0415606658891017,0
Pt-Ti-Pt(111),*CH2CHO → *CH2CH + *O,277,289,277,2.28,1.54,1,12,2,-0.212,3,1.6617,4.2196,2.5579,100.0,3.100903932393335,0
Pt-Ti-Pt(111),*CH2CO → *CH2C + *O,277,289,277,2.28,1.54,1,14,2,-0.212,2,2.7085,4.8708,2.1623,100.0,3.9877183248954373,0
Fe-Pt-Pt(111),*CH3CH2O → *CH3 + *CH2O,248,277,277,1.83,2.28,1,1,1,-0.7819,5,-0.93553,-1.26597,-0.33044,100.0,0.5477836557538124,0
Fe-Pt-Pt(111),*CH3CHO → *CH3 + *CHO,248,277,277,1.83,2.28,1,2,1,-0.7819,4,-0.64928,-1.16182,-0.51254,100.0,0.46628807604902345,0
Fe-Pt-Pt(111),*CH2CH2O → *CH2 + *CH2O,248,277,277,1.83,2.28,1,3,1,-0.7819,4,-1.5098200000000002,-0.74529,0.76453,100.0,0.5573507397959525,0
Fe-Pt-Pt(111),*CH3CO → *CH3 + *CO,248,277,277,1.83,2.28,1,4,1,-0.7819,3,-0.5073,-0.94821,-0.44091,100.0,0.5884111141933224,0
Fe-Pt-Pt(111),*CH2CHO → *CH2 + *CHO,248,277,277,1.83,2.28,1,5,1,-0.7819,3,-0.43551999999999996,-0.74115,-0.30563,100.0,0.6306314568457468,0
Fe-Pt-Pt(111),*CHCH2O → *CH + *CH2O,248,277,277,1.83,2.28,1,6,1,-0.7819,3,-0.24631999999999998,-0.52288,-0.27656,100.0,0.6671954140877328,0
Fe-Pt-Pt(111),*CH2CO → *CH2 + *CO,248,277,277,1.83,2.28,1,7,1,-0.7819,2,-0.89555,-0.31305,0.5825,100.0,0.9181419097361603,0
Fe-Pt-Pt(111),*CH3CH2O → *CH3CH2 + *O,248,277,277,1.83,2.28,1,8,2,-0.7819,5,-0.93553,-2.3996,-1.46407,100.0,0.4592500420829805,0
Fe-Pt-Pt(111),*CH3CHO → *CH3CH + *O,248,277,277,1.83,2.28,1,9,2,-0.7819,4,-0.64928,-1.54262,-0.8933399999999999,100.0,0.4211109328601167,0
Fe-Pt-Pt(111),*CH3CO → *CH3C + *O,248,277,277,1.83,2.28,1,11,2,-0.7819,3,-0.5073,-1.90667,-1.39937,100.0,0.46096731460301504,0
Fe-Pt-Pt(111),*CH2CHO → *CH2CH + *O,248,277,277,1.83,2.28,1,12,2,-0.7819,3,-0.43551999999999996,-1.8562599999999998,-1.42074,100.0,0.4612132485144255,0
Fe-Pt-Pt(111),*CH2CO → *CH2C + *O,248,277,277,1.83,2.28,1,14,2,-0.7819,2,-0.89555,-1.4029,-0.50735,100.0,0.7366408474714524,0
Pt-Fe-Pt(111),*CH3CH2O → *CH3 + *CH2O,277,248,277,2.28,1.83,1,1,1,-0.3644,5,0.50267,0.8668399999999999,0.36417,100.0,2.296806613356032,0
Pt-Fe-Pt(111),*CH3CHO → *CH3 + *CHO,277,248,277,2.28,1.83,1,2,1,-0.3644,4,0.6543100000000001,0.89155,0.23724,100.0,2.254942609859792,0
Pt-Fe-Pt(111),*CH2CH2O → *CH2 + *CH2O,277,248,277,2.28,1.83,1,3,1,-0.3644,4,1.18287,1.91567,0.7328,100.0,2.7534546613908657,0
Pt-Fe-Pt(111),*CH3CO → *CH3 + *CO,277,248,277,2.28,1.83,1,4,1,-0.3644,3,0.60096,0.53581,-0.06515,100.0,2.088253019219405,0
Pt-Fe-Pt(111),*CH2CHO → *CH2 + *CHO,277,248,277,2.28,1.83,1,5,1,-0.3644,3,1.09071,1.74763,0.65692,100.0,2.8692267698384253,0
Pt-Fe-Pt(111),*CHCH2O → *CH + *CH2O,277,248,277,2.28,1.83,1,6,1,-0.3644,3,2.18221,2.2158700000000002,0.03366,100.0,3.675146923509166,0
Pt-Fe-Pt(111),*CH2CO → *CH2 + *CO,277,248,277,2.28,1.83,1,7,1,-0.3644,2,1.41144,1.3649200000000001,-0.04652,100.0,2.9267109537103586,0
Pt-Fe-Pt(111),*CH3CH2O → *CH3CH2 + *O,277,248,277,2.28,1.83,1,8,2,-0.3644,5,0.50267,1.1008,0.59813,100.0,2.326630138331421,0
Pt-Fe-Pt(111),*CH3CHO → *CH3CH + *O,277,248,277,2.28,1.83,1,9,2,-0.3644,4,0.6543100000000001,1.93585,1.28154,100.0,2.5739178666557128,0
Pt-Fe-Pt(111),*CH3CO → *CH3C + *O,277,248,277,2.28,1.83,1,11,2,-0.3644,3,0.60096,2.27021,1.66925,100.0,3.010900609432536,0
Pt-Fe-Pt(111),*CH2CHO → *CH2CH + *O,277,248,277,2.28,1.83,1,12,2,-0.3644,3,1.09071,2.7166900000000003,1.62598,100.0,3.64983043776654,0
Pt-Fe-Pt(111),*CH2CO → *CH2C + *O,277,248,277,2.28,1.83,1,14,2,-0.3644,2,1.41144,2.93622,1.52478,100.0,3.9270284724348663,0
Sc-Pt-Pt(111),*CH3CH2O → *CH3 + *CH2O,325,277,277,1.36,2.28,1,1,1,-5.0734,5,-2.6199,-3.2262,-0.6063,100.0,0.530760305913476,0
Sc-Pt-Pt(111),*CH3CHO → *CH3 + *CHO,325,277,277,1.36,2.28,1,2,1,-5.0734,4,-2.326,-3.05,-0.7240000000000001,100.0,0.5172940039057206,0
Sc-Pt-Pt(111),*CH2CH2O → *CH2 + *CH2O,325,277,277,1.36,2.28,1,3,1,-5.0734,4,-3.5535,-3.1753,0.3782,100.0,0.5205782202070748,0
Sc-Pt-Pt(111),*CH3CO → *CH3 + *CO,325,277,277,1.36,2.28,1,4,1,-5.0734,3,-2.2535,-1.4701,0.7834,100.0,0.5025999726286209,0
Sc-Pt-Pt(111),*CH2CHO → *CH2 + *CHO,325,277,277,1.36,2.28,1,5,1,-5.0734,3,-2.4038,-2.8534,-0.4496,100.0,0.5024906289726438,0
Sc-Pt-Pt(111),*CHCH2O → *CH + *CH2O,325,277,277,1.36,2.28,1,6,1,-5.0734,3,-2.4272,-9.7992,-7.372000000000001,100.0,0.5098842199635211,0
Sc-Pt-Pt(111),*CH2CO → *CH2 + *CO,325,277,277,1.36,2.28,1,7,1,-5.0734,2,-10.6523,-13.2367,-2.5844,100.0,0.526484278015319,0
Sc-Pt-Pt(111),*CH3CH2O → *CH3CH2 + *O,325,277,277,1.36,2.28,1,8,2,-5.0734,5,-2.6199,-4.7355,-2.1156,100.0,0.5306855447924209,0
Sc-Pt-Pt(111),*CH3CHO → *CH3CH + *O,325,277,277,1.36,2.28,1,9,2,-5.0734,4,-2.326,-4.5833,-2.2573,100.0,0.5178363958993254,0
Sc-Pt-Pt(111),*CH3CO → *CH3C + *O,325,277,277,1.36,2.28,1,11,2,-5.0734,3,-2.2535,-8.5401,-6.2866,100.0,0.5083499928791173,0
Sc-Pt-Pt(111),*CH2CHO → *CH2CH + *O,325,277,277,1.36,2.28,1,12,2,-5.0734,3,-2.4038,-4.4756,-2.0718,100.0,0.5034259577254958,0
Sc-Pt-Pt(111),*CH2CO → *CH2C + *O,325,277,277,1.36,2.28,1,14,2,-5.0734,2,-10.6523,-8.749,1.9033,100.0,0.5265254692776462,0
Pt-Sc-Pt(111),*CH3CH2O → *CH3 + *CH2O,277,325,277,2.28,1.36,1,1,1,-0.1934,5,1.1078,1.9552,0.8474,100.0,1.430631103761698,0
Pt-Sc-Pt(111),*CH3CHO → *CH3 + *CHO,277,325,277,2.28,1.36,1,2,1,-0.1934,4,0.8284,2.5098,1.6814,100.0,1.7990636909116446,0
Pt-Sc-Pt(111),*CH2CH2O → *CH2 + *CH2O,277,325,277,2.28,1.36,1,3,1,-0.1934,4,2.3766,3.1838,0.8072,100.0,2.1039522238311923,0
Pt-Sc-Pt(111),*CH3CO → *CH3 + *CO,277,325,277,2.28,1.36,1,4,1,-0.1934,3,1.4749,2.0612,0.5863,100.0,1.6413269823583865,0
Pt-Sc-Pt(111),*CH2CHO → *CH2 + *CHO,277,325,277,2.28,1.36,1,5,1,-0.1934,3,1.8163,3.7102,1.8939,100.0,2.289987729312015,0
Pt-Sc-Pt(111),*CHCH2O → *CH + *CH2O,277,325,277,2.28,1.36,1,6,1,-0.1934,3,3.4573,3.2582,-0.1991,100.0,2.234077092387385,0
Pt-Sc-Pt(111),*CH2CO → *CH2 + *CO,277,325,277,2.28,1.36,1,7,1,-0.1934,2,2.6772,3.4144,0.7372,100.0,2.339781798294324,0
Pt-Sc-Pt(111),*CH3CH2O → *CH3CH2 + *O,277,325,277,2.28,1.36,1,8,2,-0.1934,5,1.1078,2.7998,1.692,100.0,1.8839902298852005,0
Pt-Sc-Pt(111),*CH3CHO → *CH3CH + *O,277,325,277,2.28,1.36,1,9,2,-0.1934,4,0.8284,3.8967,3.0683,100.0,2.25212485468838,0
Pt-Sc-Pt(111),*CH3CO → *CH3C + *O,277,325,277,2.28,1.36,1,11,2,-0.1934,3,1.4749,4.1146,2.6397,100.0,2.3585213348729948,0
Pt-Sc-Pt(111),*CH2CHO → *CH2CH + *O,277,325,277,2.28,1.36,1,12,2,-0.1934,3,1.8163,4.3586,2.5423,100.0,2.590609388176623,0
Pt-Sc-Pt(111),*CH2CO → *CH2C + *O,277,325,277,2.28,1.36,1,14,2,-0.1934,2,2.6772,4.9276,2.2504,100.0,3.003964405462414,0
V-Pt-Pt(111),*CH3CH2O → *CH3 + *CH2O,262,277,277,1.63,2.28,1,1,1,-1.0681,5,-2.5911,-3.6825,-1.0914,100.0,0.6663701525409743,0
V-Pt-Pt(111),*CH3CHO → *CH3 + *CHO,262,277,277,1.63,2.28,1,2,1,-1.0681,4,-2.0588,-3.6203,-1.5615,100.0,0.6040412983502125,0
V-Pt-Pt(111),*CH2CH2O → *CH2 + *CH2O,262,277,277,1.63,2.28,1,3,1,-1.0681,4,-3.4494,-2.9661,0.4833,100.0,0.6717353541674912,0
V-Pt-Pt(111),*CH3CO → *CH3 + *CO,262,277,277,1.63,2.28,1,4,1,-1.0681,3,-2.4702,-2.5094,-0.0392,100.0,0.6872919716728126,0
V-Pt-Pt(111),*CH2CHO → *CH2 + *CHO,262,277,277,1.63,2.28,1,5,1,-1.0681,3,-2.1447,-3.2339,-1.0892,100.0,0.6355238271825546,0
V-Pt-Pt(111),*CHCH2O → *CH + *CH2O,262,277,277,1.63,2.28,1,6,1,-1.0681,3,-2.1823,-2.343,-0.1607,100.0,0.6858948862511777,0
V-Pt-Pt(111),*CH2CO → *CH2 + *CO,262,277,277,1.63,2.28,1,7,1,-1.0681,2,-2.447,-2.1656,0.2814,100.0,0.7956139840752573,0
V-Pt-Pt(111),*CH3CH2O → *CH3CH2 + *O,262,277,277,1.63,2.28,1,8,2,-1.0681,5,-2.5911,-5.2063,-2.6152,100.0,0.6219897728646694,0
V-Pt-Pt(111),*CH3CHO → *CH3CH + *O,262,277,277,1.63,2.28,1,9,2,-1.0681,4,-2.0588,-4.8873,-2.8285,100.0,0.5727738275426048,0
V-Pt-Pt(111),*CH3CO → *CH3C + *O,262,277,277,1.63,2.28,1,11,2,-1.0681,3,-2.4702,-4.0289,-1.5587,100.0,0.6234348785397829,0
V-Pt-Pt(111),*CH2CHO → *CH2CH + *O,262,277,277,1.63,2.28,1,12,2,-1.0681,3,-2.1447,-4.8215,-2.6768,100.0,0.5895826011321877,0
V-Pt-Pt(111),*CH2CO → *CH2C + *O,262,277,277,1.63,2.28,1,14,2,-1.0681,2,-2.447,-3.6937,-1.2467,100.0,0.7221648363012713,0
Pt-V-Pt(111),*CH3CH2O → *CH3 + *CH2O,277,262,277,2.28,1.63,1,1,1,-0.272,5,0.6905,1.5596,0.8691,100.0,2.1258583958035846,0
Pt-V-Pt(111),*CH3CHO → *CH3 + *CHO,277,262,277,2.28,1.63,1,2,1,-0.272,4,0.7512,1.8056,1.0544,100.0,2.088783829936789,0
Pt-V-Pt(111),*CH2CH2O → *CH2 + *CH2O,277,262,277,2.28,1.63,1,3,1,-0.272,4,1.6565,2.8177,1.1612,100.0,2.7613943293015044,0
Pt-V-Pt(111),*CH3CO → *CH3 + *CO,277,262,277,2.28,1.63,1,4,1,-0.272,3,1.103,1.4498,0.3468,100.0,2.1929878629000488,0
Pt-V-Pt(111),*CH2CHO → *CH2 + *CHO,277,262,277,2.28,1.63,1,5,1,-0.272,3,1.3721,3.0779,1.7058,100.0,3.2595682093574956,0
Pt-V-Pt(111),*CHCH2O → *CH + *CH2O,277,262,277,2.28,1.63,1,6,1,-0.272,3,2.8488,3.2371,0.3883,100.0,3.630442197172416,0
Pt-V-Pt(111),*CH2CO → *CH2 + *CO,277,262,277,2.28,1.63,1,7,1,-0.272,2,2.2195,2.6567,0.4372,100.0,3.462265867238818,0
Pt-V-Pt(111),*CH3CH2O → *CH3CH2 + *O,277,262,277,2.28,1.63,1,8,2,-0.272,5,0.6905,2.0085,1.318,100.0,2.204152362552758,0
Pt-V-Pt(111),*CH3CHO → *CH3CH + *O,277,262,277,2.28,1.63,1,9,2,-0.272,4,0.7512,3.1995,2.4483,100.0,2.8674433490354363,0
Pt-V-Pt(111),*CH3CO → *CH3C + *O,277,262,277,2.28,1.63,1,11,2,-0.272,3,1.103,3.7505,2.6475,100.0,3.4683666762114043,0
Pt-V-Pt(111),*CH2CHO → *CH2CH + *O,277,262,277,2.28,1.63,1,12,2,-0.272,3,1.3721,3.5980000000000003,2.2259,100.0,3.513450944028348,0
Pt-V-Pt(111),*CH2CO → *CH2C + *O,277,262,277,2.28,1.63,1,14,2,-0.272,2,2.2195,4.3647,2.1452,100.0,4.33001371637624,0
Cr-Pt-Pt(111),*CH3CH2O → *CH3 + *CH2O,250,277,277,1.66,2.28,1,1,1,-2.095,5,-2.9473,-3.2849,-0.3376,100.0,0.2978996477102348,0
Cr-Pt-Pt(111),*CH3CHO → *CH3 + *CHO,250,277,277,1.66,2.28,1,2,1,-2.095,4,-2.5169,-2.8078,-0.2909,100.0,0.2674430893041392,0
Cr-Pt-Pt(111),*CH2CH2O → *CH2 + *CH2O,250,277,277,1.66,2.28,1,3,1,-2.095,4,-3.5278,-3.4067,0.1211,100.0,0.2910307395580035,0
Cr-Pt-Pt(111),*CH3CO → *CH3 + *CO,250,277,277,1.66,2.28,1,4,1,-2.095,3,-2.0491,-2.4995,-0.4504,100.0,0.3432503143708893,0
Cr-Pt-Pt(111),*CH2CHO → *CH2 + *CHO,250,277,277,1.66,2.28,1,5,1,-2.095,3,-2.5019,-2.7517,-0.2498,100.0,0.3559069861190233,0
Cr-Pt-Pt(111),*CHCH2O → *CH + *CH2O,250,277,277,1.66,2.28,1,6,1,-2.095,3,-2.1491,-2.5462,-0.3971,100.0,0.34656704204773686,0
Cr-Pt-Pt(111),*CH2CO → *CH2 + *CO,250,277,277,1.66,2.28,1,7,1,-2.095,2,-1.7889,-1.7552,0.0337,100.0,0.5294001143945635,0
Cr-Pt-Pt(111),*CH3CH2O → *CH3CH2 + *O,250,277,277,1.66,2.28,1,8,2,-2.095,5,-2.9473,-5.1975,-2.2502,100.0,0.2720995696283206,0
Cr-Pt-Pt(111),*CH3CHO → *CH3CH + *O,250,277,277,1.66,2.28,1,9,2,-2.095,4,-2.5169,-4.7459,-2.229,100.0,0.2376320537125739,0
Cr-Pt-Pt(111),*CH3CO → *CH3C + *O,250,277,277,1.66,2.28,1,11,2,-2.095,3,-2.0491,-4.093,-2.0439,100.0,0.30417060668597723,0
Cr-Pt-Pt(111),*CH2CHO → *CH2CH + *O,250,277,277,1.66,2.28,1,12,2,-2.095,3,-2.5019,-4.2002,-1.6983,100.0,0.32547551628786126,0
Cr-Pt-Pt(111),*CH2CO → *CH2C + *O,250,277,277,1.66,2.28,1,14,2,-2.095,2,-1.7889,-3.5814,-1.7925,100.0,0.46258464142011224,0
Pt-Cr-Pt(111),*CH3CH2O → *CH3 + *CH2O,277,250,277,2.28,1.66,1,1,1,-0.7269,5,0.4344,1.0731,0.6387,100.0,2.0271747504864246,0
Pt-Cr-Pt(111),*CH3CHO → *CH3 + *CHO,277,250,277,2.28,1.66,1,2,1,-0.7269,4,0.2852,0.8006,0.5154,100.0,1.7471369667863235,0
Pt-Cr-Pt(111),*CH2CH2O → *CH2 + *CH2O,277,250,277,2.28,1.66,1,3,1,-0.7269,4,1.0035,1.9316,0.9281,100.0,2.358780862613618,0
Pt-Cr-Pt(111),*CH3CO → *CH3 + *CO,277,250,277,2.28,1.66,1,4,1,-0.7269,3,0.4197,0.6936,0.2739,100.0,1.7814347486840763,0
Pt-Cr-Pt(111),*CH2CHO → *CH2 + *CHO,277,250,277,2.28,1.66,1,5,1,-0.7269,3,1.1017,1.8552,0.7535,100.0,2.5552975421587645,0
Pt-Cr-Pt(111),*CHCH2O → *CH + *CH2O,277,250,277,2.28,1.66,1,6,1,-0.7269,3,2.1694,2.3969,0.2275,100.0,3.3152618357477186,0
Pt-Cr-Pt(111),*CH2CO → *CH2 + *CO,277,250,277,2.28,1.66,1,7,1,-0.7269,2,1.4203,1.9012,0.4809,100.0,2.839432186298214,0
Pt-Cr-Pt(111),*CH3CH2O → *CH3CH2 + *O,277,250,277,2.28,1.66,1,8,2,-0.7269,5,0.4344,1.0813,0.6469,100.0,2.0273075621838688,0
Pt-Cr-Pt(111),*CH3CHO → *CH3CH + *O,277,250,277,2.28,1.66,1,9,2,-0.7269,4,0.2852,2.2676,1.9824,100.0,2.3110971661017965,0
Pt-Cr-Pt(111),*CH3CO → *CH3C + *O,277,250,277,2.28,1.66,1,11,2,-0.7269,3,0.4197,2.9138,2.4941,100.0,2.823125480846595,0
Pt-Cr-Pt(111),*CH2CHO → *CH2CH + *O,277,250,277,2.28,1.66,1,12,2,-0.7269,3,1.1017,3.1604,2.0587,100.0,3.4670901406675436,0
Pt-Cr-Pt(111),*CH2CO → *CH2C + *O,277,250,277,2.28,1.66,1,14,2,-0.7269,2,1.4203,3.4508,2.0305,100.0,3.953644398786278,0
Mn-Pt-Pt(111),*CH3CH2O → *CH3 + *CH2O,224,277,277,1.55,2.28,1,1,1,-1.1195,5,-1.3989,-2.1886,-0.7897,100.0,0.2457130689325685,0
Mn-Pt-Pt(111),*CH3CHO → *CH3 + *CHO,224,277,277,1.55,2.28,1,2,1,-1.1195,4,-1.2795,-1.7397,-0.4602,100.0,0.260785242284162,0
Mn-Pt-Pt(111),*CH2CH2O → *CH2 + *CH2O,224,277,277,1.55,2.28,1,3,1,-1.1195,4,-2.127,-1.3832,0.7438,100.0,0.3060443561177365,0
Mn-Pt-Pt(111),*CH3CO → *CH3 + *CO,224,277,277,1.55,2.28,1,4,1,-1.1195,3,-0.8673,-1.3793,-0.512,100.0,0.4023765232527969,0
Mn-Pt-Pt(111),*CH2CHO → *CH2 + *CHO,224,277,277,1.55,2.28,1,5,1,-1.1195,3,-1.2930000000000001,-1.2866,0.0064,100.0,0.4221566078717924,0
Mn-Pt-Pt(111),*CHCH2O → *CH + *CH2O,224,277,277,1.55,2.28,1,6,1,-1.1195,3,-0.7584,-1.2462,-0.4878,100.0,0.4061885992721143,0
Mn-Pt-Pt(111),*CH2CO → *CH2 + *CO,224,277,277,1.55,2.28,1,7,1,-1.1195,2,-1.3014,-0.5482,0.7532,100.0,0.6781866305323456,0
Mn-Pt-Pt(111),*CH3CH2O → *CH3CH2 + *O,224,277,277,1.55,2.28,1,8,2,-1.1195,5,-1.3989,-3.2566,-1.8577,100.0,0.21783364098279911,0
Mn-Pt-Pt(111),*CH3CHO → *CH3CH + *O,224,277,277,1.55,2.28,1,9,2,-1.1195,4,-1.2795,-2.4776,-1.1981,100.0,0.2302850966929464,0
Mn-Pt-Pt(111),*CH3CO → *CH3C + *O,224,277,277,1.55,2.28,1,11,2,-1.1195,3,-0.8673,-2.5572,-1.6899,100.0,0.34763800468856093,0
Mn-Pt-Pt(111),*CH2CHO → *CH2CH + *O,224,277,277,1.55,2.28,1,12,2,-1.1195,3,-1.2930000000000001,-2.4108,-1.1178,100.0,0.3694634436462629,0
Mn-Pt-Pt(111),*CH2CO → *CH2C + *O,224,277,277,1.55,2.28,1,14,2,-1.1195,2,-1.3014,-2.3234,-1.022,100.0,0.5690338185269019,0
Pt-Mn-Pt(111),*CH3CH2O → *CH3 + *CH2O,277,224,277,2.28,1.55,1,1,1,-0.8341,5,0.1395,0.4532,0.3137,100.0,1.8971644010183715,0
